n threads TimeSeq TimeThread TimeParallel
3 2 0,0003753 0,0091872 0,0117025
3 2 0,000304 0,0126939 0,0148207
3 2 2,1E-06 0,0108747 0,0001304
3 2 3,3E-06 0,012162 0,0001464
3 2 8E-07 0,011823 5,88E-05
3 2 2E-06 0,0379375 0,0002683
3 2 2,2E-06 0,0117898 0,000132
3 2 1E-06 0,0093705 0,0001885
3 2 2,5E-06 0,0111553 0,0002222
3 2 9E-07 0,0116337 0,0001831
3 2 8E-07 0,0114174 0,0002107
2 1 0,0003378 0,0060078 0,0113639
2 1 8E-07 0,007328 8,57E-05
2 1 1,1E-06 0,0060925 5,85E-05
2 1 9E-07 0,0057024 4,11E-05
2 1 5E-07 0,0043664 4,77E-05
2 1 6E-07 0,0050076 4,29E-05
2 1 6E-07 0,0050652 5,17E-05
2 1 8E-07 0,0055755 4,32E-05
2 1 1,1E-06 0,0065741 3,8E-05
2 1 1,1E-06 0,0060633 4,23E-05
